Designator,Mid X,Mid Y,Rotation,Layer
C1,126.05,-77.0,180.0,top
C10,117.5,-73.5,90.0,top
C11,126.0,-75.25,180.0,top
C12,121.0,-77.75,180.0,top
C13,123.0,-77.75,0.0,top
C14,132.5,-71.75,90.0,top
C2,123.75,-64.25,135.0,top
C3,118.98,-63.75,0.0,top
C4,118.25,-67.5,0.0,top
C5,119.25,-69.0,270.0,top
C6,123.25,-66.5,180.0,top
C7,119.0,-74.25,0.0,top
C8,121.25,-65.75,90.0,top
C9,119.25,-76.0,270.0,top
D1,127.8,-64.0,180.0,top
L1,124.5,-63.5,315.0,top
L2,121.75,-63.25,270.0,top
L3,123.0,-65.0,315.0,top
L4,117.75,-71.5,90.0,top
L5,119.0,-72.0,270.0,top
R1,125.4,-66.5,180.0,top
R2,124.93,-79.2,180.0,top
R3,127.51,-79.2,0.0,top
TP1,133.009989,-62.896349,125.0,bottom
TP5,126.25,-72.25,0.0,bottom
U1,123.55,-70.95,180.0,top
U2,129.499999,-71.5397,90.0,top
U3,129.75,-67.726999,270.0,top
U4,130.3,-76.35,90.0,top
Y1,118.8,-65.55,0.0,top
Y2,122.0,-76.0,0.0,top
